Física 1,P,Ingeniería Civil3,Ingeniería Industrial3,Ingeniería Agroindustrial3,Ingeniería Ambiental4,Ingeniería de Minas2,Ingeniería Electrónica2,Ingeniería en Logística y Transporte4,Ingeniería Geológica3,Ingeniería Mecatrónica2,Ingeniería Empresarial5,
Física 2,P,Ingeniería Civil4,Ingeniería Industrial4,Ingeniería Ambiental5,Ingeniería de Minas3,Ingeniería Electrónica3,Ingeniería en Logística y Transporte5,Ingeniería Geológica4,Ingeniería Mecatrónica3,,,
"Mecánica, oscilación y ondas",P,Ingeniería de Sistemas Computacionales3,,,,,,,,,,
Pre Beginner 2,V,Ingeniería de Sistemas Computacionales3,Ingeniería Civil3,Ingeniería Industrial4,Ingeniería Agroindustrial3,Ingeniería Ambiental3,Ingeniería de Minas3,Ingeniería Electrónica7,Ingeniería en Logística y Transporte3,Ingeniería Geológica3,Ingeniería Mecatrónica7,Ingeniería Empresarial5
Comunicación 3,P,Ingeniería de Sistemas Computacionales3,Ingeniería Civil3,Ingeniería Industrial4,Ingeniería Agroindustrial3,Ingeniería Ambiental3,Ingeniería de Minas3,Ingeniería Electrónica3,Ingeniería en Logística y Transporte3,Ingeniería Geológica3,Ingeniería Mecatrónica3,Ingeniería Empresarial3
Química orgánica,P,Ingeniería Industrial3,Ingeniería Ambiental3,,,,,,,,,
Estructura de datos,P,Ingeniería de Sistemas Computacionales4,,,,,,,,,,
Estática,P,Ingeniería Civil4,Ingeniería de Minas5,,,,,,,,,
Geometría analítica y álgebra,P,Ingeniería Civil4,Ingeniería de Minas3,Ingeniería Geológica3,,,,,,,,
Ingeniería de métodos 1,P,Ingeniería Industrial4,Ingeniería en Logística y Transporte5,,,,,,,,,
Cálculo 2,P,Ingeniería de Sistemas Computacionales4,Ingeniería Civil4,Ingeniería Industrial4,Ingeniería Agroindustrial4,Ingeniería Ambiental4,Ingeniería de Minas4,Ingeniería Electrónica4,Ingeniería en Logística y Transporte4,Ingeniería Geológica4,Ingeniería Mecatrónica4,Ingeniería Empresarial4
Probabilidad y estadística,V,Ingeniería de Sistemas Computacionales4,Ingeniería Civil4,Ingeniería Industrial3,Ingeniería Agroindustrial4,Ingeniería Ambiental4,Ingeniería de Minas4,Ingeniería Electrónica4,Ingeniería en Logística y Transporte3,Ingeniería Geológica4,Ingeniería Mecatrónica4,Ingeniería Empresarial3
Herramientas informáticas,V,Ingeniería de Sistemas Computacionales4,Ingeniería Civil3,Ingeniería Industrial4,Ingeniería Agroindustrial2,Ingeniería Ambiental3,Ingeniería de Minas4,Ingeniería Electrónica3,Ingeniería en Logística y Transporte4,Ingeniería Geológica3,Ingeniería Mecatrónica3,Ingeniería Empresarial3
"Electricidad, magnetismo y óptica",P,Ingeniería de Sistemas Computacionales4,,,,,,,,,,
Topografía,P,Ingeniería Civil5,,,,,,,,,,
Cálculo 3,P,Ingeniería Civil5,Ingeniería Industrial5,Ingeniería de Minas5,Ingeniería Electrónica5,Ingeniería en Logística y Transporte5,Ingeniería Geológica5,Ingeniería Mecatrónica5,,,,
Dinámica,P,Ingeniería Civil5,Ingeniería de Minas6,,,,,,,,,
Mecánica de suelos,P,Ingeniería Civil5,,,,,,,,,,
Materiales de construcción,P,Ingeniería Civil5,,,,,,,,,,
Gerencia de marketing,V,Ingeniería Industrial5,Ingeniería Agroindustrial5,Ingeniería Empresarial4,,,,,,,,
Ingeniería de métodos 2,P,Ingeniería Industrial5,,,,,,,,,,
Investigación de operaciones 1,P,Ingeniería Industrial5,,,,,,,,,,
Mecánica y resistencia de materiales,P,Ingeniería Industrial5,,,,,,,,,,
Gestión de costos,V,Ingeniería Industrial5,Ingeniería Agroindustrial4,Ingeniería en Logística y Transporte4,Ingeniería Empresarial5,,,,,,,
Técnicas de programación orientada a objetos,P,Ingeniería de Sistemas Computacionales5,,,,,,,,,,
Base de datos,P,Ingeniería de Sistemas Computacionales5,,,,,,,,,,
Electrónica digital,P,Ingeniería de Sistemas Computacionales5,,,,,,,,,,
Análisis de algoritmos y estrategias de programación,P,Ingeniería de Sistemas Computacionales5,,,,,,,,,,
Optimización y simulación,P,Ingeniería de Sistemas Computacionales5,,,,,,,,,,
Psicología de la felicidad,V,Ingeniería de Sistemas Computacionales5,Ingeniería Industrial3,Ingeniería Agroindustrial4,Ingeniería Ambiental5,Ingeniería de Minas5,Ingeniería Electrónica2,Ingeniería en Logística y Transporte4,Ingeniería Geológica5,Ingeniería Mecatrónica3,Ingeniería Empresarial2,
Tecnología del concreto,P,Ingeniería Civil6,,,,,,,,,,
Mecánica de fluidos,P,Ingeniería Civil6,,,,,,,,,,
Construcción,P,Ingeniería Civil6,,,,,,,,,,
Estructuras y cargas,P,Ingeniería Civil6,,,,,,,,,,
Caminos,P,Ingeniería Civil6,,,,,,,,,,
Ingeniería económica y finanzas,P,Ingeniería Industrial6,,,,,,,,,,
Investigación de operaciones 2,P,Ingeniería Industrial6,,,,,,,,,,
Termodinámica,P,Ingeniería Industrial6,Ingeniería Agroindustrial4,,,,,,,,,
Seguridad y salud ocupacional,V,Ingeniería Industrial6,,,,,,,,,,
Taller de base de datos,P,Ingeniería de Sistemas Computacionales6,,,,,,,,,,
Empleabilidad,V,Ingeniería de Sistemas Computacionales6,Ingeniería Industrial6,Ingeniería Agroindustrial4,Ingeniería Ambiental5,Ingeniería de Minas5,Ingeniería Electrónica6,Ingeniería en Logística y Transporte5,Ingeniería Geológica5,Ingeniería Mecatrónica6,Ingeniería Empresarial4,
Modelamiento y análisis de software,P,Ingeniería de Sistemas Computacionales6,,,,,,,,,,
Computación gráfica y visual,P,Ingeniería de Sistemas Computacionales6,,,,,,,,,,
Arquitectura del computador,P,Ingeniería de Sistemas Computacionales6,,,,,,,,,,
Instalaciones de edificaciones,P,Ingeniería Civil7,,,,,,,,,,
Hidrología general,P,Ingeniería Civil7,,,,,,,,,,
Resistencia de materiales,P,Ingeniería Civil7,Ingeniería de Minas6,,,,,,,,,
Impacto ambiental de obras de ingeniería,V,Ingeniería Civil7,,,,,,,,,,
Pavimientos,P,Ingeniería Civil7,,,,,,,,,,
Sistemas operativos,P,Ingeniería de Sistemas Computacionales7,,,,,,,,,,
Interacción humano computador,P,Ingeniería de Sistemas Computacionales7,,,,,,,,,,
Redes 1,P,Ingeniería de Sistemas Computacionales7,,,,,,,,,,
Diseño y arquitectura de software,P,Ingeniería de Sistemas Computacionales7,,,,,,,,,,
Metodología de la investigación,V,Ingeniería de Sistemas Computacionales7,Ingeniería Civil6,Ingeniería Industrial6,Ingeniería Agroindustrial4,Ingeniería Ambiental6,Ingeniería de Minas6,Ingeniería Electrónica5,Ingeniería en Logística y Transporte7,Ingeniería Geológica6,Ingeniería Mecatrónica5,Ingeniería Empresarial6
Proyecto social,V,Ingeniería de Sistemas Computacionales7,Ingeniería Civil7,Ingeniería Industrial9,Ingeniería Agroindustrial6,Ingeniería Ambiental7,Ingeniería de Minas7,Ingeniería Electrónica7,Ingeniería en Logística y Transporte7,Ingeniería Geológica8,Ingeniería Mecatrónica7,Ingeniería Empresarial7
Innovación y emprendimiento,P,Ingeniería Industrial7,Ingeniería Agroindustrial7,Ingeniería Empresarial7,,,,,,,,
Gestión de recursos humanos,V,Ingeniería Industrial7,,,,,,,,,,
Producción esbelta,P,Ingeniería Industrial7,,,,,,,,,,
Simulación de sistemas,P,Ingeniería Industrial7,,,,,,,,,,
Gestión táctica de operaciones,P,Ingeniería Industrial7,Ingeniería Agroindustrial7,,,,,,,,,
Gestión de la calidad,P,Ingeniería Industrial8,,,,,,,,,,
Gestión estratégica de operaciones,P,Ingeniería Industrial8,,,,,,,,,,
Logística,P,Ingeniería Industrial8,,,,,,,,,,
Abastecimiento de agua y alcantarillado,P,Ingeniería Civil8,,,,,,,,,,
Gestión de calidad y seguridad de obras,P,Ingeniería Civil8,,,,,,,,,,
Costos y presupuestos de ingeniería civil,P,Ingeniería Civil8,,,,,,,,,,
Análisis estructural,P,Ingeniería Civil8,,,,,,,,,,
Soluciones web y aplicaciones distribuidas,P,Ingeniería de Sistemas Computacionales8,,,,,,,,,,
Redes 2,P,Ingeniería de Sistemas Computacionales8,,,,,,,,,,
Calidad y pruebas de software,P,Ingeniería de Sistemas Computacionales8,,,,,,,,,,
Práctica preprofesional,V,Ingeniería de Sistemas Computacionales8,Ingeniería Civil8,Ingeniería Industrial8,Ingeniería Agroindustrial8,Ingeniería Ambiental8,Ingeniería de Minas8,Ingeniería Electrónica8,Ingeniería en Logística y Transporte8,Ingeniería Geológica8,Ingeniería Mecatrónica8,Ingeniería Empresarial8
Taller de robótica,P,Ingeniería de Sistemas Computacionales8,,,,,,,,,,
Videojuegos y aplicaciones móviles,P,Ingeniería de Sistemas Computacionales9,,,,,,,,,,
Proyectos de inversión,P,Ingeniería Industrial9,Ingeniería Agroindustrial9,,,,,,,,,
Gestión de mantenimiento,P,Ingeniería Industrial9,,,,,,,,,,
Ingeniería sismorresistente,P,Ingeniería Civil9,,,,,,,,,,
Concreto armado,P,Ingeniería Civil9,,,,,,,,,,
Taller de tesis 1,V,Ingeniería de Sistemas Computacionales9,Ingeniería Civil9,Ingeniería Industrial9,Ingeniería Agroindustrial9,Ingeniería Ambiental9,Ingeniería de Minas9,Ingeniería Electrónica9,Ingeniería en Logística y Transporte9,Ingeniería Geológica9,Ingeniería Mecatrónica9,Ingeniería Empresarial9
Electivo 1,P,Ingeniería de Sistemas Computacionales9,Ingeniería Civil9,Ingeniería Industrial9,Ingeniería Agroindustrial9,Ingeniería Ambiental9,Ingeniería de Minas9,Ingeniería Electrónica9,Ingeniería en Logística y Transporte9,Ingeniería Geológica9,Ingeniería Mecatrónica9,Ingeniería Empresarial9
Sistemas inteligentes,P,Ingeniería de Sistemas Computacionales9,,,,,,,,,,
Administración de proyectos de software,P,Ingeniería de Sistemas Computacionales9,,,,,,,,,,
Capstone project sistemas,P,Ingeniería de Sistemas Computacionales10,,,,,,,,,,
Taller de tesis 2,V,Ingeniería de Sistemas Computacionales10,Ingeniería Civil10,Ingeniería Industrial10,Ingeniería Agroindustrial10,Ingeniería Ambiental10,Ingeniería de Minas10,Ingeniería Electrónica10,Ingeniería en Logística y Transporte10,Ingeniería Geológica10,Ingeniería Mecatrónica10,Ingeniería Empresarial10
Diseño de puentes,P,Ingeniería Civil10,,,,,,,,,,
Gestión de proyectos de construcción,P,Ingeniería Civil10,,,,,,,,,,
Gestión de procesos BPM y planeamiento estratégico,P,Ingeniería de Sistemas Computacionales10,,,,,,,,,,
Electivo 2,P,Ingeniería de Sistemas Computacionales10,Ingeniería Civil10,Ingeniería Industrial10,Ingeniería Agroindustrial10,Ingeniería Ambiental10,Ingeniería de Minas10,Ingeniería Electrónica10,Ingeniería en Logística y Transporte10,Ingeniería Geológica10,Ingeniería Mecatrónica10,Ingeniería Empresarial10
Ingeniería eléctrica y automatización industrial,P,Ingeniería Industrial10,,,,,,,,,,
Evaluación de impacto ambiental,P,Ingeniería Industrial10,Ingeniería Ambiental7,,,,,,,,,
Capstone project,P,Ingeniería Industrial10,,,,,,,,,,
Introducción a la ingeniería agroindustrial,P,Ingeniería Agroindustrial1,,,,,,,,,,
Química general,P,Ingeniería Agroindustrial1,Ingeniería Electrónica1,Ingeniería Mecatrónica1,Ingeniería Empresarial1,,,,,,,
Bioquímica agroindustrial,P,Ingeniería Agroindustrial2,,,,,,,,,,
Biología general,P,Ingeniería Agroindustrial2,Ingeniería Ambiental1,,,,,,,,,
Microbiología agroindustrial,P,Ingeniería Agroindustrial3,,,,,,,,,,
Gestión de base de datos agroindustrial,P,Ingeniería Agroindustrial3,,,,,,,,,,
Herramientas para la investigación e innovación agroindustrial,P,Ingeniería Agroindustrial5,,,,,,,,,,
Ingeniería y tecnología del frío,P,Ingeniería Agroindustrial5,,,,,,,,,,
Tecnología agroindustrial 1,P,Ingeniería Agroindustrial5,,,,,,,,,,
Operaciones unitarias agroindustriales 1,P,Ingeniería Agroindustrial6,,,,,,,,,,
Ingeniería de productos y procesos,P,Ingeniería Agroindustrial6,Ingeniería Empresarial5,,,,,,,,,
Tecnologías de información aplicadas a los negocios,P,Ingeniería Agroindustrial6,Ingeniería Empresarial5,,,,,,,,,
Tecnología agroindustrial 2,P,Ingeniería Agroindustrial6,,,,,,,,,,
Investigación de operaciones,P,Ingeniería Agroindustrial7,Ingeniería en Logística y Transporte6,Ingeniería Empresarial6,,,,,,,,
Operaciones unitarias agroindustriales 2,P,Ingeniería Agroindustrial7,,,,,,,,,,
Gerencia de la cadena de suministros,P,Ingeniería Agroindustrial7,Ingeniería Empresarial7,,,,,,,,,
Bioingeniería y biotecnología,P,Ingeniería Agroindustrial8,,,,,,,,,,
Agroindustrial,P,Ingeniería Agroindustrial8,,,,,,,,,,
Gestión de calidad,P,Ingeniería Agroindustrial8,,,,,,,,,,
Gestión de la inocuidad agroindustrial,P,Ingeniería Agroindustrial8,,,,,,,,,,
Sistemas integrados de gestión,P,Ingeniería Agroindustrial9,Ingeniería Empresarial9,,,,,,,,,
E-business y negocios internacionales,P,Ingeniería Agroindustrial10,Ingeniería Empresarial10,,,,,,,,,
Diseño de plantas agroindustriales,P,Ingeniería Agroindustrial10,,,,,,,,,,
Introducción a la ingeniería ambiental,P,Ingeniería Ambiental1,,,,,,,,,,
Ecología general,P,Ingeniería Ambiental3,,,,,,,,,,
Química analítica,P,Ingeniería Ambiental4,Ingeniería de Minas4,Ingeniería Geológica5,,,,,,,,
Topografía general,P,Ingeniería Ambiental4,,,,,,,,,,
Química ambiental,P,Ingeniería Ambiental5,,,,,,,,,,
Meteorología y climatología,P,Ingeniería Ambiental5,,,,,,,,,,
Microbiolgía ambiental,P,Ingeniería Ambiental5,,,,,,,,,,
Mecánica de fluidos para ingeniería ambiental,P,Ingeniería Ambiental6,,,,,,,,,,
Ecotoxicología,P,Ingeniería Ambiental6,,,,,,,,,,
Gestión de riesgos ambientales,P,Ingeniería Ambiental6,,,,,,,,,,
Economía ambiental,P,Ingeniería Ambiental6,,,,,,,,,,
Tecnologias de tratamiento de suelos contaminados,P,Ingeniería Ambiental6,,,,,,,,,,
Cartografía y sistema de información geográfica,P,Ingeniería Ambiental7,,,,,,,,,,
Procesos unitarios,P,Ingeniería Ambiental7,,,,,,,,,,
Tecnologías de tratamiento de la contaminación atmosférica,P,Ingeniería Ambiental7,,,,,,,,,,
Constitución y legislación ambiental,P,Ingeniería Ambiental7,,,,,,,,,,
Planificación y ordenamiento territorial,P,Ingeniería Ambiental8,,,,,,,,,,
Tecnologías de tratamiento de agua residuales y de abastecimiento,P,Ingeniería Ambiental8,,,,,,,,,,
Formulación y evaluación de proyectos ambientales,P,Ingeniería Ambiental8,,,,,,,,,,
Gestión de residuos sólidos,P,Ingeniería Ambiental9,,,,,,,,,,
Transportes de contaminantes: Modelización y riesgos asociados,P,Ingeniería Ambiental9,,,,,,,,,,
Manejo integral de cuencas,P,Ingeniería Ambiental10,,,,,,,,,,
Introducción a la ingeniería de minas,P,Ingeniería de Minas1,,,,,,,,,,
Dibujo de ingeniería,P,Ingeniería de Minas2,Ingeniería Geológica2,,,,,,,,,
Física 3,P,Ingeniería de Minas4,Ingeniería Electrónica4,Ingeniería en Logística y Transporte6,Ingeniería Mecatrónica4,,,,,,,
Topografía minera,P,Ingeniería de Minas5,,,,,,,,,,
Mineralogía y petrología,P,Ingeniería de Minas6,,,,,,,,,,
Concentración de minerales,P,Ingeniería de Minas6,,,,,,,,,,
Yacimientos minerales,P,Ingeniería de Minas7,,,,,,,,,,
Mecánica de rocas,P,Ingeniería de Minas7,,,,,,,,,,
Seguridad minera y control de pérididas,P,Ingeniería de Minas7,,,,,,,,,,
Software de minería para diseño y geología,P,Ingeniería de Minas7,,,,,,,,,,
Perforación y voladura,P,Ingeniería de Minas8,,,,,,,,,,
Economía y valorización minera,P,Ingeniería de Minas8,,,,,,,,,,
Métodos de explotación mineros,P,Ingeniería de Minas8,,,,,,,,,,
Plan de cierre y responsabilidad social ambiental minera,P,Ingeniería de Minas9,,,,,,,,,,
Planeamiento de minado,P,Ingeniería de Minas10,,,,,,,,,,
Gestión de empresas mineras,P,Ingeniería de Minas10,,,,,,,,,,
Introducción a la ingeniería electrónica,P,Ingeniería Electrónica1,,,,,,,,,,
Programación para ingenieros,P,Ingeniería Electrónica3,Ingeniería Mecatrónica2,,,,,,,,,
Arquitectura de computadoras,P,Ingeniería Electrónica4,,,,,,,,,,
Circuitos digitales 1,P,Ingeniería Electrónica4,,,,,,,,,,
Campos electromagnéticos,P,Ingeniería Electrónica5,,,,,,,,,,
Circuitos digitales 2,P,Ingeniería Electrónica5,,,,,,,,,,
Circuitos eléctricos 1,P,Ingeniería Electrónica5,,,,,,,,,,
Medios de transmisión y antenas,P,Ingeniería Electrónica6,,,,,,,,,,
Variables complejas y transformadas,P,Ingeniería Electrónica6,Ingeniería Mecatrónica6,,,,,,,,,
Circuitos eléctricos 2,P,Ingeniería Electrónica6,,,,,,,,,,
Dispositivos electrónicos,P,Ingeniería Electrónica6,,,,,,,,,,
Telecomunicaciones 1,P,Ingeniería Electrónica7,,,,,,,,,,
Microprocesadores y microcontroladores,P,Ingeniería Electrónica7,Ingeniería Mecatrónica8,,,,,,,,,
Ingeniería de control 1,P,Ingeniería Electrónica7,,,,,,,,,,
Circuitos electrónicos,P,Ingeniería Electrónica7,,,,,,,,,,
Arquitectura de redes,P,Ingeniería Electrónica8,,,,,,,,,,
Procesamiento de señales,P,Ingeniería Electrónica8,Ingeniería Mecatrónica7,,,,,,,,,
Telecomunicaciones 2,P,Ingeniería Electrónica8,,,,,,,,,,
Inteligencia artificial y sistemas expertos,P,Ingeniería Electrónica9,Ingeniería Mecatrónica8,,,,,,,,,
Ingeniería de control 2,P,Ingeniería Electrónica9,,,,,,,,,,
Gestión de servicios y redes de telecomunicaciones,P,Ingeniería Electrónica9,,,,,,,,,,
Robótica,P,Ingeniería Electrónica10,Ingeniería Mecatrónica9,,,,,,,,,
Control de procesos industriales,P,Ingeniería Electrónica10,Ingeniería Mecatrónica10,,,,,,,,,
Introducción a la ingeniería en logística y transporte,P,Ingeniería en Logística y Transporte1,,,,,,,,,,
Topografía satelital,P,Ingeniería en Logística y Transporte4,,,,,,,,,,
Diseño vial,P,Ingeniería en Logística y Transporte5,,,,,,,,,,
Fundamentos de la cadena de suministro,P,Ingeniería en Logística y Transporte6,,,,,,,,,,
Planeamiento y diseño de centros de distribución,P,Ingeniería en Logística y Transporte6,,,,,,,,,,
Ingeniería de sistemas de transporte,P,Ingeniería en Logística y Transporte6,,,,,,,,,,
Aduanas y operadores logísticos,P,Ingeniería en Logística y Transporte7,,,,,,,,,,
Modelos de predicción de transporte,P,Ingeniería en Logística y Transporte7,,,,,,,,,,
Gestión de almacén y abastecimiento,P,Ingeniería en Logística y Transporte7,,,,,,,,,,
Gestión de compras y proveedores,P,Ingeniería en Logística y Transporte7,,,,,,,,,,
Transporte intermodal y multimodal,P,Ingeniería en Logística y Transporte8,,,,,,,,,,
Derecho comercial de transporte,P,Ingeniería en Logística y Transporte8,,,,,,,,,,
Gestión de operaciones logísticas,P,Ingeniería en Logística y Transporte8,,,,,,,,,,
"Transporte aéreo, marítimo y terrestre",P,Ingeniería en Logística y Transporte9,,,,,,,,,,
Logística y distribución física internacional,P,Ingeniería en Logística y Transporte9,,,,,,,,,,
Infraestructura y operaciones portuarias,P,Ingeniería en Logística y Transporte10,,,,,,,,,,
Tecnologías de información en aspectos comerciales,P,Ingeniería en Logística y Transporte10,,,,,,,,,,
Introducción a la ingeniería geológica,P,Ingeniería Geológica1,,,,,,,,,,
Geología física y geomorfología,P,Ingeniería Geológica4,,,,,,,,,,
Topografía geológica y minera,P,Ingeniería Geológica5,,,,,,,,,,
Geología estructural,P,Ingeniería Geológica5,,,,,,,,,,
Minerología y cristalografía,P,Ingeniería Geológica6,,,,,,,,,,
Petrología y microscopía óptica de minerales,P,Ingeniería Geológica6,,,,,,,,,,
Geoquímica,P,Ingeniería Geológica6,,,,,,,,,,
Mecánica de fluidos para geólogos,P,Ingeniería Geológica6,,,,,,,,,,
Paleontología general,P,Ingeniería Geológica7,,,,,,,,,,
Geofísica general,P,Ingeniería Geológica7,,,,,,,,,,
Estratigrafía y sedimentología,P,Ingeniería Geológica7,,,,,,,,,,
Geotecnia y mecánica de suelos,P,Ingeniería Geológica7,,,,,,,,,,
Geoestadística,P,Ingeniería Geológica7,,,,,,,,,,
Geotectónica sísmica,P,Ingeniería Geológica7,,,,,,,,,,
Softwares aplicados a ingeniería geológica,P,Ingeniería Geológica8,,,,,,,,,,
Geología de campo,P,Ingeniería Geológica8,,,,,,,,,,
Mecánica de rocas para geólogos,P,Ingeniería Geológica8,,,,,,,,,,
Hidrogeología,P,Ingeniería Geológica9,,,,,,,,,,
Geología minera y de yacimientos minerales,P,Ingeniería Geológica9,,,,,,,,,,
Geotecnia ambiental,P,Ingeniería Geológica10,,,,,,,,,,
Geología económica y evaluación de proyectos,P,Ingeniería Geológica10,,,,,,,,,,
Introducción a la ingeniería mecatrónica,P,Ingeniería Mecatrónica1,,,,,,,,,,
Resistencia de materiales aplicada,P,Ingeniería Mecatrónica4,,,,,,,,,,
Mecánica del cuerpo rígido,P,Ingeniería Mecatrónica4,,,,,,,,,,
Dispositivos y circuitos electrónicos,P,Ingeniería Mecatrónica5,,,,,,,,,,
Elementos de máquina y mecanismos,P,Ingeniería Mecatrónica5,,,,,,,,,,
Circuitos eléctricos,P,Ingeniería Mecatrónica5,,,,,,,,,,
Circuitos y sistemas digitales,P,Ingeniería Mecatrónica6,,,,,,,,,,
Ingeniería de fluidos y termodinámica,P,Ingeniería Mecatrónica6,,,,,,,,,,
Dibujo mecatrónico,P,Ingeniería Mecatrónica7,,,,,,,,,,
Ingeniería de control,P,Ingeniería Mecatrónica7,,,,,,,,,,
Máquinas eléctricas,P,Ingeniería Mecatrónica7,,,,,,,,,,
Electrohidráulica y electroneumática,P,Ingeniería Mecatrónica8,,,,,,,,,,
Manufactura asistida por computadora,P,Ingeniería Mecatrónica8,,,,,,,,,,
Emprendimiento y evaluación de proyectos,P,Ingeniería Mecatrónica9,,,,,,,,,,
Comunicación de datos y redes industriales,P,Ingeniería Mecatrónica9,,,,,,,,,,
Proyecto mecatrónico,P,Ingeniería Mecatrónica10,,,,,,,,,,
Introducción a la ingeniería empresarial,P,Ingeniería Empresarial1,,,,,,,,,,
Gestión de base de datos,P,Ingeniería Empresarial3,,,,,,,,,,
Sistemas de información empresarial,P,Ingeniería Empresarial4,,,,,,,,,,
Herramientas estadísticas para la investigación,P,Ingeniería Empresarial4,,,,,,,,,,
Ingeniería económica,P,Ingeniería Empresarial4,,,,,,,,,,
Gestión de procesos de negocios (BPM),P,Ingeniería Empresarial6,,,,,,,,,,
Finanzas internacionales,P,Ingeniería Empresarial6,,,,,,,,,,
Arquitectura empresarial,P,Ingeniería Empresarial6,,,,,,,,,,
Dirección de procesos comerciales y TI,P,Ingeniería Empresarial7,,,,,,,,,,
Procesos de gestión de personas y TI,P,Ingeniería Empresarial7,,,,,,,,,,
Formulación y evaluación de proyectos (PMI01),P,Ingeniería Empresarial7,,,,,,,,,,
Procesos logísticos y aplicaciones TI,P,Ingeniería Empresarial8,,,,,,,,,,
Modelo para la toma de decisiones,P,Ingeniería Empresarial8,,,,,,,,,,
Gestión estratégica de negocios,P,Ingeniería Empresarial8,,,,,,,,,,
Gerencia de proyectos (PMIO2),P,Ingeniería Empresarial9,,,,,,,,,,
